store_and_fwd_flag,mta_tax,total_amount,extra,ratecodeid,fare_amount,trip_distance,lpep_dropoff_datetime,pickup_longitude,pickup_latitude,vendorid,dropoff_longitude,passenger_count,tolls_amount,trip_type,payment_type,dropoff_latitude,lpep_pickup_datetime,improvement_surcharge,tip_amount
N,0.5,11.16,0.5,1,8,1.46,2016-01-01T00:39:36.000,-73.928642272949219,40.680610656738281,2,-73.924278259277344,1,0,1,1,40.698043823242188,2016-01-01T00:29:24.000,0.3,1.86
N,0.5,16.8,0.5,1,15.5,3.56,2016-01-01T00:39:18.000,-73.952674865722656,40.723175048828125,2,-73.923919677734375,1,0,1,2,40.761379241943359,2016-01-01T00:19:39.000,0.3,0
N,0.5,22.25,0.5,1,16.5,3.79,2016-01-01T00:39:48.000,-73.971611022949219,40.676105499267578,2,-74.013160705566406,1,0,1,1,40.646072387695313,2016-01-01T00:19:33.000,0.3,4.45
N,0.5,14.8,0.5,1,13.5,3.01,2016-01-01T00:38:32.000,-73.989501953125,40.669578552246094,2,-74.000648498535156,1,0,1,2,40.689033508300781,2016-01-01T00:22:12.000,0.3,0
N,0.5,13.3,0.5,1,12,2.55,2016-01-01T00:39:22.000,-73.964729309082031,40.682853698730469,2,-73.940719604492188,1,0,1,2,40.663013458251953,2016-01-01T00:24:01.000,0.3,0
N,0.5,8.3,0.5,1,7,1.37,2016-01-01T00:39:35.000,-73.891143798828125,40.746456146240234,2,-73.867744445800781,1,0,1,2,40.742111206054688,2016-01-01T00:32:59.000,0.3,0
N,0.5,6.3,0.5,1,5,0.57,2016-01-01T00:39:21.000,-73.896675109863281,40.746196746826172,2,-73.886192321777344,1,0,1,2,40.745689392089844,2016-01-01T00:34:42.000,0.3,0
N,0.5,8.3,0.5,1,7,1.01,2016-01-01T00:39:36.000,-73.953353881835937,40.803558349609375,2,-73.949150085449219,1,0,1,2,40.794120788574219,2016-01-01T00:31:23.000,0.3,0
N,0.5,15.3,0.5,1,12,2.46,2016-01-01T00:39:52.000,-73.994064331054688,40.702816009521484,2,-73.971572875976562,1,0,1,1,40.679725646972656,2016-01-01T00:24:40.000,0.3,2
N,0.5,11.9,0.5,1,9,1.61,2016-01-01T00:39:23.000,-73.914131164550781,40.756641387939453,2,-73.917549133300781,1,0,1,1,40.739658355712891,2016-01-01T00:28:59.000,0.3,1.6
N,0.5,9.12,0.5,1,6,0.72,2016-01-01T00:39:48.000,-73.911178588867188,40.761829376220703,2,-73.921028137207031,1,0,1,1,40.763126373291016,2016-01-01T00:32:25.000,0.3,1.82
N,0.5,5.76,0.5,1,3.5,0.32,2016-01-01T00:39:31.000,-73.958168029785156,40.715328216552734,2,-73.962753295898438,1,0,1,1,40.718177795410156,2016-01-01T00:37:51.000,0.3,0.96
N,0.5,15.8,0.5,1,14.5,3.54,2016-01-01T00:39:37.000,-73.946678161621094,40.800785064697266,2,-73.924903869628906,1,0,1,2,40.842765808105469,2016-01-01T00:21:39.000,0.3,0
N,0.5,7.3,0.5,1,6,1.10,2016-01-01T00:39:49.000,-73.914291381835938,40.763439178466797,2,-73.90240478515625,1,0,1,2,40.775833129882812,2016-01-01T00:34:04.000,0.3,0
N,0.5,14.3,0.5,1,11,2.28,2016-01-01T00:39:46.000,-73.943374633789063,40.824314117431641,2,-73.932029724121094,1,0,1,1,40.850196838378906,2016-01-01T00:26:08.000,0.3,2
N,0.5,6.96,0.5,1,4.5,0.68,2016-01-01T00:39:33.000,-73.96697998046875,40.632152557373047,2,-73.966880798339844,1,0,1,1,40.640159606933594,2016-01-01T00:35:40.000,0.3,1.16
N,0.5,11.3,0.5,1,10,1.36,2016-01-01T00:38:43.000,-73.937843322753906,40.814445495605469,2,-73.951583862304688,1,0,1,2,40.811866760253906,2016-01-01T00:25:05.000,0.3,0
N,0.5,19.8,0.5,1,15.5,3.07,2016-01-01T00:39:49.000,-73.990364074707031,40.690513610839844,2,-73.947746276855469,1,0,1,1,40.693325042724609,2016-01-01T00:17:40.000,0.3,3
N,0.5,8.8,0.5,1,7.5,1.52,2016-01-01T00:39:23.000,-73.883827209472656,40.74755859375,2,-73.855522155761719,1,0,1,2,40.751564025878906,2016-01-01T00:31:16.000,0.3,0
N,0.5,12.8,0.5,1,11.5,2.55,2016-01-01T00:39:17.000,-73.980354309082031,40.684413909912109,2,-73.976943969726563,1,0,1,2,40.659637451171875,2016-01-01T00:25:58.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.57,2016-01-01T00:39:42.000,-73.948799133300781,40.693458557128906,2,-73.962814331054687,1,0,1,2,40.709941864013672,2016-01-01T00:30:54.000,0.3,0
N,0.5,20.38,0.5,1,15,3.88,2016-01-01T00:39:36.000,-73.961967468261719,40.713481903076172,2,-73.924613952636719,1,0,1,1,40.684741973876953,2016-01-01T00:21:36.000,0.3,4.08
N,0.5,17.8,0.5,1,16.5,3.97,2016-01-01T00:39:30.000,-73.941108703613281,40.788276672363281,2,-73.936195373535156,1,0,1,2,40.820686340332031,2016-01-01T00:18:54.000,0.3,0
N,0.5,26.8,0.5,1,22.5,5.32,2016-01-01T00:39:32.000,-73.933006286621094,40.752582550048828,2,-74.00469970703125,2,0,1,1,40.752185821533203,2016-01-01T00:10:37.000,0.3,3
N,0.5,13.39,0.5,1,9,1.76,2016-01-01T00:40:04.000,-73.980384826660156,40.678001403808594,2,-73.982398986816406,2,0,1,1,40.66192626953125,2016-01-01T00:30:53.000,0.3,3.09
N,0.5,14.8,0.5,1,13.5,3.31,2016-01-01T00:39:52.000,-73.970344543457031,40.672691345214844,2,-73.944015502929687,1,0,1,1,40.698410034179688,2016-01-01T00:24:14.000,0.3,0
N,0.5,13.56,0.5,1,10,2.21,2016-01-01T00:39:51.000,-73.946258544921875,40.821098327636719,2,-73.967994689941406,1,0,1,1,40.803050994873047,2016-01-01T00:30:03.000,0.3,2.26
N,0.5,7.8,0.5,1,6.5,1.20,2016-01-01T00:39:53.000,-73.983039855957031,40.677593231201172,2,-73.997421264648437,1,0,1,2,40.683887481689453,2016-01-01T00:32:58.000,0.3,0
N,0.5,6.3,0.5,1,5,0.61,2016-01-01T00:39:08.000,-73.943099975585938,40.6923828125,2,-73.957466125488281,6,0,1,2,40.690715789794922,2016-01-01T00:34:53.000,0.3,0
N,0.5,20.8,0.5,1,19.5,5.34,2016-01-01T00:39:32.000,-73.942230224609375,40.754131317138672,2,-73.960029602050781,5,0,1,2,40.690483093261719,2016-01-01T00:19:41.000,0.3,0
N,0.5,22.3,0.5,1,21,6.66,2016-01-01T00:39:55.000,-73.830673217773438,40.759479522705078,2,-73.7598876953125,5,0,1,2,40.720901489257813,2016-01-01T00:22:06.000,0.3,0
N,0.5,17.3,0.5,1,16,5.03,2016-01-01T00:40:04.000,-73.908607482910156,40.875617980957031,2,-73.931243896484375,1,0,1,2,40.813980102539062,2016-01-01T00:29:46.000,0.3,0
N,0.5,18.8,0.5,1,17.5,4.33,2016-01-01T00:39:58.000,-73.991981506347656,40.690624237060547,2,-73.922996520996094,1,0,1,2,40.669261932373047,2016-01-01T00:19:02.000,0.3,0
N,0.5,20.3,0.5,1,19,5.66,2016-01-02T00:18:46.000,-73.940780639648437,40.716381072998047,2,-73.976936340332031,1,0,1,1,40.738826751708984,2016-01-01T00:21:06.000,0.3,0
N,0.5,14.3,0.5,1,13,3.31,2016-01-01T00:39:33.000,-73.913810729980469,40.848731994628906,2,-73.948738098144531,1,0,1,1,40.813407897949219,2016-01-01T00:26:34.000,0.3,0
N,0.5,10.8,0.5,1,9.5,1.97,2016-01-01T00:39:36.000,-73.96405029296875,40.807868957519531,2,-73.935958862304688,1,0,1,2,40.803581237792969,2016-01-01T00:26:49.000,0.3,0
N,0.5,16.3,0.5,1,12,3.09,2016-01-01T00:38:49.000,-73.938980102539062,40.805255889892578,2,-73.956474304199219,1,0,1,1,40.767951965332031,2016-01-01T00:26:06.000,0.3,3
N,0.5,18.96,0.5,1,14.5,3.32,2016-01-01T00:39:58.000,-73.962966918945313,40.804119110107422,2,-73.925003051757813,1,0,1,1,40.826053619384766,2016-01-01T00:22:13.000,0.3,3.16
N,0.5,15.8,0.5,1,14.5,3.78,2016-01-01T00:39:09.000,-73.953048706054688,40.655841827392578,2,-73.964210510253906,1,0,1,2,40.706138610839844,2016-01-01T00:24:17.000,0.3,0
N,0.5,7.56,0.5,1,5,0.58,2016-01-01T00:39:45.000,-73.95166015625,40.71380615234375,2,-73.941520690917969,1,0,1,1,40.713687896728516,2016-01-01T00:34:53.000,0.3,1.26
N,0.5,14.3,0.5,1,13,3.57,2016-01-01T00:40:03.000,-73.925376892089844,40.762107849121094,2,-73.951995849609375,1,0,1,2,40.773113250732422,2016-01-01T00:27:55.000,0.3,0
N,0.5,44.81,0.5,1,30.5,9.97,2016-01-01T00:40:12.000,-73.945259094238281,40.807956695556641,2,-73.946624755859375,2,5.54,1,1,40.715042114257813,2016-01-01T00:17:34.000,0.3,7.47
N,0.5,10.8,0.5,1,9.5,1.78,2016-01-01T00:39:48.000,-73.987663269042969,40.69036865234375,2,-73.965400695800781,1,0,1,2,40.676979064941406,2016-01-01T00:27:59.000,0.3,0
N,0.5,10.3,0.5,1,9,1.66,2016-01-01T00:38:44.000,-73.923553466796875,40.687168121337891,2,-73.933021545410156,1,0,1,2,40.672500610351562,2016-01-01T00:27:21.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.35,2016-01-01T00:39:36.000,-73.869796752929688,40.749164581298828,2,-73.882400512695312,1,0,1,2,40.755821228027344,2016-01-01T00:31:12.000,0.3,0
N,0.5,9.3,0.5,1,8,1.56,2016-01-01T00:39:58.000,-73.891548156738281,40.746631622314453,2,-73.882530212402344,1,0,1,2,40.731773376464844,2016-01-01T00:31:42.000,0.3,0
N,0.5,10.8,0.5,1,9.5,1.64,2016-01-01T00:39:17.000,-73.954498291015625,40.805641174316406,2,-73.937934875488281,1,0,1,2,40.796161651611328,2016-01-01T00:28:06.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.25,2016-01-01T00:39:50.000,-73.953811645507813,40.81683349609375,2,-73.952301025390625,1,0,1,2,40.803318023681641,2016-01-01T00:31:08.000,0.3,0
N,0.5,23.76,0.5,1,18.5,4.54,2016-01-01T00:38:56.000,-73.957649230957031,40.729763031005859,2,-73.909233093261719,5,0,1,1,40.685775756835938,2016-01-01T00:14:07.000,0.3,3.96
N,0.5,9.3,0.5,1,8,1.49,2016-01-01T00:39:54.000,-73.899215698242188,40.746162414550781,2,-73.877593994140625,1,0,1,2,40.747028350830078,2016-01-01T00:31:01.000,0.3,0
N,0.5,12.3,0.5,1,11,2.33,2016-01-01T00:38:53.000,-73.869377136230469,40.734058380126953,2,-73.900054931640625,1,0,1,2,40.745933532714844,2016-01-01T00:26:21.000,0.3,0
N,0.5,25.8,0.5,1,24.5,7.18,2016-01-01T00:40:15.000,-73.957565307617188,40.722209930419922,2,-73.956779479980469,1,0,1,1,40.766586303710937,2016-01-01T00:15:24.000,0.3,0
N,0.5,5.3,0.5,1,4,0.45,2016-01-01T00:39:52.000,-73.977073669433594,40.683998107910156,2,-73.978530883789063,1,0,1,2,40.689537048339844,2016-01-01T00:37:08.000,0.3,0
